OBJECTID,	STATEFP20,	GEOID20,	CD118FP,	NAMELSAD20,					LSAD20,	CDSESSN,	MTFCC20,	FUNCSTAT20,	ALAND20,		AWATER20,	INTPTLAT20,	INTPTLON20,		OFFICE_ID,	BIOGUIDE_ID,	OFFICE_AUDIT_ID,PREFIX,	FIRSTNAME,	MIDDLENAME,	LASTNAME,	SUFFIX,	LISTING_NAME,		PHONE,WEBSITEURL,						VACANT,	CONTACTFORMURL,														PHOTOURL,													FACE_BOOK_URL,												TWITTER_URL,							YOUTUBE_URL,																	INSTAGRAM_URL,										FLICKR_URL,									PARTY,	DISTRICT,	STATE,	VACANCY,	ROOM_NUM,	HOB,	COMMITTEE_ASSIGNMENTS,																	LAST_UPDATED,			Shape__Area,		Shape__Length
11,			04,			0403,		03,			Congressional District 3,	C2,		118,		G5200,		N,			532928823,		1838580,	+33.4240875,-112.1217241,	AZ03,		G000574,		00010732,		Mr. ,	Ruben,		,			Gallego,	,		"Gallego, Ruben",	54065,https://rubengallego.house.gov/,	N,		https://rubengallego.house.gov/contact/email-me,					https://ziplook.house.gov/zip/pictures/az07_gallego.jpg,	https://www.facebook.com/RepRubenGallego,					https://twitter.com/RepRubenGallego,	,																				https://www.instagram.com/reprubengallego/,			,											D,		03,			,		0,			1114,		LHOB,	Armed Services;Natural Resources,														8/23/2023 4:07:56 PM,	0.0518428544996823,	1.31131240242237
12,			04,			0404,		04,			Congressional District 4,	C2,		118,		G5200,		N,			462961045,		2599907,	+33.3847293,-111.8597348,	AZ04,		S001211,		00010733,		Mr. ,	Greg,		,			Stanton,	,		"Stanton, Greg",	59888,https://stanton.house.gov/,		N,		https://stanton.house.gov/email-me,									https://ziplook.house.gov/zip/pictures/az09_stanton.jpg,	http://www.facebook.com/repgregstanton,						http://twitter.com/repgregstanton,		http://www.youtube.com/c/repgregstanton,										https://www.instagram.com/repgregstanton/?hl=en,	,											D,		04,			,		0,			207,		CHOB,	Foreign Affairs;Transportation,															1/4/2023 5:15:51 PM,	0.0451136328379107,	1.67433583516006
13,			04,			0405,		05,			Congressional District 5,	C2,		118,		G5200,		N,			1049671180,		1235284,	+33.3057430,-111.6550857,	AZ05,		B001302,		00010317,		Mr. ,	Andy,		,			Biggs,		,		"Biggs, Andy",		52635,https://biggs.house.gov,			N,		https://biggs.house.gov/contact/email,								https://ziplook.house.gov/zip/pictures/az05_biggs.jpg,		http://www.facebook.com/RepAndyBiggs,						http://twitter.com/RepAndyBiggsAZ,		http://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w,						http://instagram.com/repandybiggs,					,											R,		05,			,		0,			252,		CHOB,	Oversight and Accountability;the Judiciary,												1/3/2023 11:34:21 AM,	0.101728585325645,	2.0543991128671
14,			04,			0406,		06,			Congressional District 6,	C2,		118,		G5200,		N,			35458547147,	53692141,	+32.3738269,-109.9776441,	AZ06,		C001133,		00010734,		Mr. ,	Juan,		,			Ciscomani,	,		"Ciscomani, Juan",	52542,https://ciscomani.house.gov,		N,		https://ciscomani.house.gov/address_authentication?form=/contact,	https://ziplook.house.gov/zip/pictures/az06_ciscomani.jpg,	https://www.facebook.com/profile.php?id=100089186535085,	https://twitter.com/RepCiscomani,		https://youtube.com/channel/UCD329AYGX7YnMMSUaTKWHwA,							https://instagram.com/epjuanciscomani/,				,											R,		06,			,		0,			1429,		LHOB,	Appropriations;Veterans' Affairs,														11/17/2023 1:45:38 PM,	3.40306331120178,	13.7085081399432
15,			04,			0407,		07,			Congressional District 7,	C2,		118,		G5200,		N,			39931135328,	13472301,	+32.2613612,-112.3213640,	AZ07,		G000551,		00010735,		Mr. ,	Raul,		M.,			Grijalva,	,		"Grijalva, Raul",	52435,https://grijalva.house.gov/,		N,		https://grijalva.house.gov/about-raul/contact-raul/,				https://ziplook.house.gov/zip/pictures/az07_grijalva.jpg,	https://www.facebook.com/,									https://www.twitter.com/,				https://www.youtube.com/,														https://www.instagram.com/,							,											D,		07,			,		0,			1203,		LHOB,	Education and the Workforce;Natural Resources,											1/24/2024 8:56:40 AM,	3.82318340836491,	16.9220119341945
16,			04,			0408,		08,			Congressional District 8,	C2,		118,		G5200,		N,			1489980566,		9074686,	+33.7884639,-112.2013243,	AZ08,		L000589,		00010411,		Mrs.,	Debbie,		,			Lesko,		,		"Lesko, Debbie",	54576,https://lesko.house.gov,			N,		https://lesko.house.gov/email,										https://ziplook.house.gov/zip/pictures/az08_lesko.jpg,		https://www.facebook.com/RepDebbieLesko/,					https://twitter.com/RepDLesko,			https://www.youtube.com/channel/UCc6-ceGpb-VbP1rmmvYUCWQ,						https://instagram.com/replesko,						,											R,		08,			,		0,			1214,		LHOB,	Energy and Commerce;Select Sub on the Coronavirus,										7/10/2023 8:54:13 AM,	0.14593092356472,	2.41624714001156
17,			04,			0409,		09,			Congressional District 9,	C2,		118,		G5200,		N,			60163607476,	377975295,	+34.6023415,-113.6633198,	AZ09,		G000565,		00010736,		Mr. ,	Paul,		A.,			Gosar,		,		"Gosar, Paul",		52315,https://gosar.house.gov/,			N,		https://gosar.house.gov/contact/,									https://ziplook.house.gov/zip/pictures/az09_gosar.jpg,		https://www.facebook.com/REPGOSAR,							https://twitter.com/REPGOSAR,			https://www.youtube.com/channel/UC5orqw_9acsKWSRbrqTDXBw,						https://instagram.com/REPGOSAR,						https://www.flickr.com/photos/repgosar,		R,		09,			,		0,			2057,		RHOB,	Natural Resources;Oversight and Accountability,											1/4/2023 5:15:51 PM,	5.95611806824422,	20.3388045367614
18,			05,			0501,		01,			Congressional District 1,	C2,		118,		G5200,		N,			51410894323,	1427066405,	+35.3511723,-091.3350800,	AR01,		C001087,		00009591,		Mr. ,	Eric,		A. ""Rick"",Crawford,	,		"Crawford, Eric",	54076,https://crawford.house.gov/,		N,		https://crawford.house.gov/contact,									https://ziplook.house.gov/zip/pictures/ar01_crawford.jpg,	https://www.facebook.com/RepRickCrawford,					https://twitter.com/reprickcrawford,	https://www.youtube.com/user/RepRickCrawford,									http://instagram.com/reprickcrawford,				,											R,		01,			,		0,			2422,		RHOB,	"Agriculture;Intelligence (Permanent);Science, Space, and Technology;Transportation",	1/3/2023 11:34:21 AM,	5.24085596152577,	23.7546602352826
19,			05,			0502,		02,			Congressional District 2,	C2,		118,		G5200,		N,			13731168944,	361751718,	+35.1678883,-092.3758376,	AR02,		H001072,		00010179,		Mr. ,	J.,			French,		Hill,		,		"Hill, J.",			52506,https://hill.house.gov/,			N,		https://hill.house.gov/contact/,									https://ziplook.house.gov/zip/pictures/ar02_hill.jpg,		https://www.facebook.com/repfrenchhill,						https://twitter.com/repfrenchhill,		http://www.youtube.com/channel/UCT8uWroJtkwSsCJlVg0IKvQ,						https://instagram.com/repfrenchhill,				,											R,		02,			,		0,			1533,		LHOB,	Financial Services;Foreign Affairs;Intelligence (Permanent),							1/3/2023 11:34:21 AM,	1.39426222377006,	8.2269342411073
20,			05,			0503,		03,			Congressional District 3,	C2,		118,		G5200,		N,			10786538519,	207821922,	+36.0007166,-094.0298134,	AR03,		W000809,		00009593,		Mr. ,	Steve,		,			Womack,		,		"Womack, Steve",	54301,https://womack.house.gov/,		N,		https://womack.house.gov/contact/contactform.htm,					https://ziplook.house.gov/zip/pictures/ar03_womack.jpg,		https://www.facebook.com/RepSteveWomack,					https://twitter.com/rep_stevewomack,	https://www.youtube.com/user/CongressmanWomack,									https://www.instagram.com/rep_stevewomack/,			,											R,		03,			,		0,			2412,		RHOB,	Appropriations,																			1/3/2023 11:34:21 AM,	1.09905266970327,	5.63873927900814
21,			05,			0504,		04,			Congressional District 4,	C2,		118,		G5200,		N,			58732248715,	1125227294,	+34.2089834,-093.1424686,	AR04,		W000821,		00010180,		Mr. ,	Bruce,		,			Westerman,	,		"Westerman, Bruce",	53772,https://westerman.house.gov/,		N,		https://westerman.house.gov/contact,								https://ziplook.house.gov/zip/pictures/ar04_westerman.jpg,	https://www.facebook.com/RepWesterman,						https://x.com/RepWesterman,				https://www.youtube.com/channel/UCNshPbmupCwP5a7Hi79jETQ/feed?view_as=public,	https://www.instagram.com/repwesterman/?hl=en,		,											R,		04,			,		0,			202,		CHOB,	Natural Resources;Transportation,														11/17/2023 1:48:52 PM,	5.85626351175279,	16.7820898370128
22,			06,			0650,		50,			Congressional District 50,	C2,		118,		G5200,		N,			664419699,		402569160,+32.7139954,-117.2349647,		CA50,		P000608,		00010773,		Mr. ,	Scott,		H.,			Peters,		,		"Peters, Scott",	50508,https://scottpeters.house.gov,	N,		https://scottpeters.house.gov/email-me,								https://ziplook.house.gov/zip/pictures/ca50_peters.jpg,		http://www.facebook.com/repscottpeters,						http://twitter.com/RepScottPeters,		http://www.youtube.com/channel/UCQK77QJxW7Xr-S3zqeMd-0g,						http://instagram.com/repscottpeters,				http://www.flickr.com/photos/94780163@N02/,	D,		50,			,		0,			1201,		LHOB,	Energy and Commerce;the Budget,															1/9/2023 9:20:16 AM,	0.1028276921827,	3.34532879789017
23,			06,			0652,		52,			Congressional District 52,	C2,		118,		G5200,		N,			349854784,		21271032,+32.6286787,-117.0353225,		CA52,		V000130,		00010775,		Mr. ,	Juan,		,			Vargas,		,		"Vargas, Juan",		58045,https://vargas.house.gov,			N,		https://vargas.house.gov/contact,									https://ziplook.house.gov/zip/pictures/ca52_vargas.jpg,		http://www.facebook.com/RepJuanVargas,						http://twitter.com/RepJuanVargas,		http://www.youtube.com/user/RepJuanVargas,										http://instagram.com/repjuanvargas/,				,											D,		52,			,		0,			2334,		RHOB,	Financial Services,																		1/4/2023 5:38:46 PM,	0.0356614696729594,	1.35537141280153
24,			06,			0610,		10,			Congressional District 10,	C2,		118,		G5200,		N,			1391885471,		61045761,+37.8910774,-121.8930556,		CA10,		D000623,		00010744,		Mr. ,	Mark,		,			DeSaulnier,	,		"DeSaulnier, Mark",	52095,https://desaulnier.house.gov/,	N,		https://desaulnier.house.gov/connect,								https://ziplook.house.gov/zip/pictures/ca10_desaulnier.jpg,	https://www.facebook.com/RepMarkDeSaulnier,					https://twitter.com/RepDeSaulnier,		https://www.facebook.com/RepMarkDeSaulnier,										https://instagram.com/repdesaulnier/,				,											D,		10,			,		0,			503,		CHOB,	Education and the Workforce;Ethics;Transportation,										1/15/2024 11:17:30 AM,	0.148819935949177,	2.92979020612635
25,06,0611,11,Congressional District 11,C2,118,G5200,N,107711136,479055913,+37.7272391,-123.0322294,CA11,P000197,00010745,Ms. ,Nancy,,Pelosi,,"Pelosi, Nancy",54965,https://pelosi.house.gov/,N,https://pelosi.house.gov/address_authentication?form=/contact/email-me,https://ziplook.house.gov/zip/pictures/ca11_pelosi.jpg,http://www.facebook.com/NancyPelosi,,http://www.youtube.com/user/nancypelosi,https://www.instagram.com/SpeakerPelosi/,,D,11,,0,1236,LHOB,,11/21/2023 11:47:44 AM,0.0599950683877069,1.70214344255196
26,06,0612,12,Congressional District 12,C2,118,G5200,N,240020628,126020293,+37.7801271,-122.2408008,CA12,L000551,00010746,Ms. ,Barbara,,Lee,,"Lee, Barbara",52661,https://lee.house.gov/,N,https://lee.house.gov/contact/email-me,https://ziplook.house.gov/zip/pictures/ca12_leebarbara.jpg,https://www.facebook.com/RepBarbaraLee,https://twitter.com/repbarbaralee,https://www.youtube.com/user/RepLee,https://instagram.com/repbarbaralee,,D,12,,0,2470,RHOB,Appropriations;the Budget,1/4/2023 5:38:46 PM,0.0374358885660513,0.989270753510984
27,06,0615,15,Congressional District 15,C2,118,G5200,N,301066032,290952868,+37.5890673,-122.3166841,CA15,M001225,00010749,Mr. ,Kevin,,Mullin,,"Mullin, Kevin",53531,https://kevinmullin.house.gov,N,https://kevinmullin.house.gov/contact/,https://ziplook.house.gov/zip/pictures/ca15_mullin.jpg,https://www.facebook.com/CongressmanKevinMullin,https://x.com/RepKevinMullin,https://www.youtube.com/channel/UCAenuXjUZagZyD4HQL7_2ZA,https://www.instagram.com/repkevinmullin,,D,15,,0,1404,LHOB,"Natural Resources;Science, Space, and Technology",8/15/2024 8:30:49 AM,0.0604001595543195,1.4606393221733
28,06,0614,14,Congressional District 14,C2,118,G5200,N,1503352878,74948436,+37.6325330,-121.8394566,CA14,S001193,00010748,Mr. ,Eric,,Swalwell,,"Swalwell, Eric",55065,https://swalwell.house.gov,N,https://swalwell.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca14_swalwell.jpg,https://www.facebook.com/CongressmanEricSwalwell,https://twitter.com/RepSwalwell,http://www.youtube.com/user/ericswalwell,http://instagram.com/repswalwell,,D,14,,0,174,CHOB,Homeland Security;the Judiciary,6/1/2023 9:17:02 AM,0.161104528348915,2.56326547105895
29,06,0616,16,Congressional District 16,C2,118,G5200,N,1370323602,477751599,+37.3351737,-122.2876744,CA16,E000215,00010750,Ms. ,Anna,G.,Eshoo,,"Eshoo, Anna",58104,https://eshoo.house.gov/,N,https://eshoo.house.gov/address_authentication?form=/contact/email-me,https://ziplook.house.gov/zip/pictures/ca16_eshoo.jpg,http://www.facebook.com/RepAnnaEshoo,http://twitter.com/repannaeshoo,http://www.youtube.com/RepAnnaEshoo,http://instagram.com/RepAnnaEshoo,,D,16,,0,272,CHOB,Energy and Commerce,2/10/2023 10:38:26 AM,0.187940006772806,3.58937906691353
30,06,0619,19,Congressional District 19,C2,118,G5200,N,7294894534,1988253172,+36.8677125,-121.7525021,CA19,P000613,00010752,Mr. ,Jimmy,,Panetta,,"Panetta, Jimmy",52861,https://panetta.house.gov,N,https://panetta.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca19_panetta.jpg,https://www.facebook.com/RepJimmyPanetta/,https://x.com/RepJimmyPanetta,https://www.youtube.com/channel/UCmw-aERG51C96edMDPN7fXQ,https://instagram.com/repjimmypanetta/,,D,19,,0,304,CHOB,Armed Services;the Budget;Ways and Means,11/21/2023 11:56:32 AM,0.930619870648115,10.9207330477186
31,06,0620,20,Congressional District 20,C2,118,G5200,N,25052466939,128853638,+35.7564580,-118.6717298,CA20,F000480,00010954,Mr. ,Vince,,Fong,,"Fong, Vince",52915,https://fong.house.gov/,N,https://fong.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/no-photo.jpg,,,,,,R,20,,0,2468,RHOB,,6/5/2024 5:00:02 AM,2.51018599946337,18.3021678109659
32,06,0618,18,Congressional District 18,C2,118,G5200,N,11843790535,90532180,+36.4786923,-121.1929124,CA18,L000397,00010751,Ms. ,Zoe,,Lofgren,,"Lofgren, Zoe",53072,https://lofgren.house.gov/,N,https://lofgren.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca18_lofgren.jpg,http://www.facebook.com/zoelofgren,http://twitter.com/repzoelofgren,http://www.youtube.com/user/RepZoeLofgren,,,D,18,,0,1401,LHOB,"Science, Space, and Technology;the Judiciary",5/18/2023 9:16:42 AM,1.20014097680587,9.58661781867039
33,06,0623,23,Congressional District 23,C2,118,G5200,N,46533032983,48601319,+34.9425038,-116.4363096,CA23,O000019,00010756,Mr. ,Jay,,Obernolte,,"Obernolte, Jay",55861,https://obernolte.house.gov,N,https://obernolte.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca23_obernolte.jpg,https://www.facebook.com/JayObernolte,https://x.com/JayObernolte,https://www.youtube.com/c/jayobernolte,https://www.instagram.com/jayobernolte/,,R,23,,0,1029,LHOB,"Energy and Commerce;Science, Space, and Technology",11/21/2023 12:02:41 PM,4.59524801352882,11.9575372593554
34,06,0625,25,Congressional District 25,C2,118,G5200,N,30965475658,1026251179,+33.6133112,-115.3445501,CA25,R000599,00010757,Mr. ,Raul,,Ruiz,,"Ruiz, Raul",55330,https://ruiz.house.gov,N,https://ruiz.house.gov/address_authentication?form=/contact/email,https://ziplook.house.gov/zip/pictures/ca25_ruiz.jpg,http://www.facebook.com/CongressmanRaulRuizMD,http://twitter.com/CongressmanRuiz,http://www.youtube.com/user/RepRaulRuiz,http://instagram.com/repraulruizmd/,,D,25,,0,2342,RHOB,Energy and Commerce;Select Sub on the Coronavirus,11/21/2023 12:16:07 PM,3.10979431580972,15.7311406002836
35,06,0626,26,Congressional District 26,C2,118,G5200,N,4441526448,311329572,+34.4549598,-119.0699499,CA26,B001285,00009887,Ms. ,Julia,,Brownley,,"Brownley, Julia",55811,https://juliabrownley.house.gov,N,https://juliabrownley.house.gov/contact/email-me/,https://ziplook.house.gov/zip/pictures/ca26_brownley.jpg,http://www.facebook.com/RepJuliaBrownley,https://twitter.com/JuliaBrownley26,http://www.youtube.com/RepJuliaBrownley,https://www.instagram.com/RepBrownley/,,D,26,,0,2262,RHOB,Transportation;Veterans' Affairs,11/21/2023 12:16:52 PM,0.466261892111106,4.50394126485787
36,06,0622,22,Congressional District 22,C2,118,G5200,N,11170772596,19759439,+35.7735727,-119.5297371,CA22,V000129,00010755,Mr. ,David,G.,Valadao,,"Valadao, David",54695,https://valadao.house.gov,N,https://valadao.house.gov/contact/,https://ziplook.house.gov/zip/pictures/ca22_valadao.jpg,https://facebook.com/CongressmanDavidValadao,https://twitter.com/RepDavidValadao,,,,R,22,,0,2465,RHOB,Appropriations;the Budget,1/3/2023 11:34:21 AM,1.1154472487583,6.70529174515378
37,06,0629,29,Congressional District 29,C2,118,G5200,N,333691799,1261602,+34.2877538,-118.3896945,CA29,C001097,00009888,Mr. ,Tony,,Cardenas,,"Cardenas, Tony",56131,https://cardenas.house.gov,N,https://cardenas.house.gov/contact-me/email-me,https://ziplook.house.gov/zip/pictures/ca29_cardenas.jpg,https://www.facebook.com/repcardenas,https://twitter.com/@repcardenas,http://www.youtube.com/user/repcardenas,https://www.instagram.com/repcardenas/,https://www.flickr.com/photos/93619344@N06/,D,29,,0,2181,RHOB,Energy and Commerce,1/3/2023 11:34:21 AM,0.032795441839653,1.54604501816097
38,06,0631,31,Congressional District 31,C2,118,G5200,N,537871718,8525707,+34.1457683,-117.8916313,CA31,N000179,00010761,Mrs.,Grace,F.,Napolitano,,"Napolitano, Grace",55256,https://napolitano.house.gov/,N,https://napolitano.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca31_napolitano.jpg,http://www.facebook.com/RepGraceNapolitano,https://twitter.com/gracenapolitano,http://www.youtube.com/user/RepGraceNapolitano,http://instagram.com/repgracenapolitano/,,D,31,,0,1610,LHOB,Natural Resources;Transportation,11/21/2023 12:20:16 PM,0.0534098844207165,2.55396073601668
39,06,0627,27,Congressional District 27,C2,118,G5200,N,3926639580,32081994,+34.6066288,-118.3582840,CA27,G000061,00010758,Mr. ,Mike,,Garcia,,"Garcia, Mike",51956,https://mikegarcia.house.gov/,N,https://mikegarcia.house.gov/contact/,https://ziplook.house.gov/zip/pictures/ca27_mikegarcia.jpg,https://www.facebook.com/RepMikeGarcia/,https://twitter.com/repmikegarcia,,https://www.instagram.com/repmikegarcia/,,R,27,,0,144,CHOB,"Appropriations;Intelligence (Permanent);Science, Space, and Technology",1/4/2023 5:38:46 PM,0.389047362933979,3.70172171766485
40,06,0630,30,Congressional District 30,C2,118,G5200,N,464384391,2017004,+34.2280903,-118.2736260,CA30,S001150,00010760,Mr. ,Adam,B.,Schiff,,"Schiff, Adam",54176,https://schiff.house.gov/,N,https://schiff.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca30_schiff.jpg,https://www.facebook.com/RepAdamSchiff,https://twitter.com/RepAdamSchiff,https://www.youtube.com/RepAdamSchiff,https://www.instagram.com/RepAdamSchiff/,,D,30,,0,2309,RHOB,the Judiciary,11/21/2023 12:19:12 PM,0.0456346365240279,2.02096416499975
41,06,0635,35,Congressional District 35,C2,118,G5200,N,459003710,514457,+34.0376468,-117.6197226,CA35,T000474,00010187,Mrs.,Norma,J.,Torres,,"Torres, Norma",56161,https://torres.house.gov/,N,https://torres-live.house.gov/contact/email-me,https://ziplook.house.gov/zip/pictures/ca35_torres.jpg,http://www.facebook.com/RepNormaTorres,http://twitter.com/NormaJTorres,http://www.youtube.com/channel/UCvWY4qKP6--o3pIJY7hhKDg,http://instagram.com/repnormatorres/,,D,35,,0,2227,RHOB,Appropriations;House Administration,5/30/2024 11:06:18 AM,0.0448619983881144,1.53036501707683
